Date,ATM_ID,Total_Of_Transactions,Total_Of_Services,Total_Of_Bills,Total_Of_Transfers,Total_Of_Dispenses,HSuperviser,No_Service
1393/10/16,1966,644,6108209,5335000,848854023,320450000,0.21,0.88
1393/10/16,1968,622,0,1385000,1646269309,262600000,0.07,22.79
1393/10/16,1970,444,10076367,22595000,803217816,148700000,0.26,1.12
1393/10/16,1950,500,5426112,1591000,753280000,186200000,0.1,0.42
1393/10/16,1963,889,14993793,11928000,1812208590,338200000,0.03,0.17
1393/10/16,1971,604,11705326,12044000,989485420,216000000,0.08,0.38
1393/10/16,3789,122,0,269000,248020000,41400000,0,0
1393/10/16,3790,32,0,1898000,32200000,11400000,0,0
1393/10/16,3792,337,2828778,24126000,248604231,107500000,0.04,0.21
1393/10/16,3709,320,34515352,1805000,478380000,98000000,0.22,0.92
1393/10/16,3710,515,9469750,1436000,822879590,152850000,0.03,1.87
1393/10/16,3711,348,10797542,2343000,403620458,104900000,0.03,0.13
1393/10/16,3712,536,19114312,13030000,634915000,169350000,0.32,1.33
1393/10/16,3713,536,33315784,2301000,538100000,157550000,0,0.25
1393/10/16,3714,456,0,2526000,450930000,189600000,13.15,54.79
1393/10/16,3715,152,2800000,100000,555110000,52100000,0,26.92
1393/10/16,3716,634,882664,3088000,1388875515,168350000,0.29,1.21
1393/10/16,3717,511,0,1792000,1286496800,203300000,0.27,1.13
1393/10/16,3554,102,0,8238000,40184000,6800000,0.31,23.42
1393/10/16,3442,357,5838628,12603000,705893000,93000000,0.01,0.04
1393/10/16,3443,325,0,11836000,312740000,115100000,0,1
1393/10/16,3444,273,3115657,9753000,185540000,71300000,0.03,0.13
1393/10/16,3446,589,22664223,17126000,504071435,212300000,0.01,0.04
1393/10/16,3254,302,11457216,6595000,463527394,50400000,0.03,18.96
1393/10/16,3229,553,9681356,6787000,1350917106,185850000,0,0
1393/10/16,3230,662,23768312,7143000,527518114,196100000,0.19,0.79
1393/10/16,3231,307,6314268,2501000,1476620000,85400000,0,0
1393/10/16,3232,481,19068515,2747000,221341655,127250000,0.4,1.71
1393/10/16,3233,422,8321438,6453000,600099000,181200000,0.01,37.87
1393/10/16,3234,312,1386613,2460000,435933637,101900000,0.03,47.66
1393/10/16,3235,715,2900000,15371000,544434000,387700000,0.09,1.29
1394/04/15,3442,424,10434369,8617000,1381586000,165400000,0.01,0.04
1394/04/15,3443,370,1400000,11125000,505710000,127750000,0,0.42
1394/04/15,3444,191,2841914,2329000,198808000,37300000,0.02,0.13
1394/04/15,3446,521,28291331,5147000,604276017,184750000,0.04,15.92
1394/04/15,3254,301,21927584,2399000,333299333,99850000,0.11,0.46
1394/04/15,3047,572,11399433,4449000,598029950,184400000,0.03,0.13
1394/04/15,3048,586,2050000,3666000,1252785000,180900000,0.03,0.13
1394/04/15,3049,545,14297819,2282000,1353989851,169850000,0.01,0.04
1394/04/15,3050,484,22982986,12676000,825494760,172800000,0,0
1394/04/15,3051,599,13626905,480000,1512230000,215500000,0.41,1.71
1394/04/15,2737,384,1386613,2055000,1041420545,110000000,0.23,0.96
1394/04/15,2334,586,8228209,2028000,924795000,184450000,0.37,1.54
1394/04/11,3442,371,4180091,7895000,1195593562,123500000,0,16
1394/04/11,3443,448,0,9166000,742362175,165100000,0.01,0.46
1394/04/11,3444,198,0,5340000,326950000,46100000,0,0
1394/04/11,3446,618,1666668,3875000,739306545,262450000,0.05,9.54
1394/04/11,3254,316,3507003,5045000,494330000,98500000,0,0
1394/04/11,3047,522,1040000,6507000,675177035,178600000,0.03,0.13
1394/04/11,3048,546,0,1226000,512166492,186100000,0.02,0.33
