"ATM_Usage","ATM_Money","Day","Month","Season","Day_Of_Week","Is_Holiday","Date_Importance","HSupervisor","No_Service"
"183","205871570","14","9","3","1","0","0.5","0","N"
"369","501949520","14","12","4","7","1","1.0","0","N"
"412","707514200","2","8","3","1","1","4.0","0","N"
"548","570325092","2","5","2","7","1","0.5","0","N"
"558","1396052324","23","7","3","6","0","1.0","0.09","N"
"9","26000000","7","1","1","7","1","0.1","0","N"
"671","899404755","2","3","1","1","0","3.0","0.01","N"
"628","579406046","22","3","1","7","1","0.0","0","N"
"584","1316479277","16","4","2","4","0","2.5","0.25","N"
"293","866469051","22","2","1","4","0","0.5","0.02","N"
"431","719139232","14","12","4","7","1","1.0","0","N"
"474","751702673","29","11","4","5","0","3.0","0.09","N"
"423","1824013146","9","1","1","3","0","0.5","0.03","N"
"750","1752436198","3","8","3","2","0","1.5","0.01","N"
"516","979747291","7","7","3","4","0","3.0","0.24","N"
"682","1124350000","13","5","2","4","0","0.1","0.26","N"
"385","309616000","20","5","2","4","1","3.0","0","N"
"879","1684183147","25","5","2","2","0","3.0","0.08","N"
"499","343605437","8","8","3","7","1","2.0","0","N"
"579","1612698659","8","12","4","1","0","0.0","0","N"
"254","356396000","19","5","2","3","0","1.5","0.28","N"
"398","955125417","10","12","4","3","0","0.0","0.07","N"
"431","748465694","4","5","2","2","0","0.0","0.03","N"
"665","1048832020","15","12","4","7","1","2.0","0","N"
"511","534005634","8","7","3","5","0","2.0","0.32","N"
"371","570103321","27","6","2","7","1","1.0","0","N"
"531","1016733619","3","3","1","2","0","3.0","0","N"
"531","773751099","10","10","4","6","0","1.5","0.08","N"
"112","296877000","12","1","1","6","1","2.5","0","N"
"238","250187354","17","7","3","7","1","2.0","0","N"
"727","1081259997","1","3","1","7","1","3.0","0","N"
"898","1012951552","29","6","2","2","0","3.0","0.04","N"
"316","615836000","22","5","2","6","0","0.1","0.18","N"
"384","633471020","12","1","1","6","1","2.5","0","N"
"372","584649295","13","3","1","5","1","4.0","0","N"
"416","911607413","18","9","3","5","0","1.5","0.32","N"
"0","0","15","12","4","7","1","2.0","0","N"
"516","461805133","8","12","4","7","1","0.0","0","N"
"38","62620000","11","3","1","3","0","1.5","0","N"
"530","647670084","23","3","1","1","0","0.1","0.2","N"
"415","772602000","25","7","3","1","0","1.0","0.01","N"
"225","422594840","11","3","1","3","0","1.5","0.03","N"
"482","827718320","26","5","2","3","0","0.5","0.24","N"
"322","387532236","23","2","1","5","0","1.5","0.04","N"
"318","600815012","25","7","3","1","0","1.0","0.02","N"
"293","332159000","10","2","1","6","0","1.5","0.03","N"
"443","779874682","6","6","2","7","1","0.1","0","N"
"79","132812000","9","12","4","1","0","0.0","0","N"
"217","360574000","25","10","4","6","0","0.0","0","N"
"453","968199166","23","7","3","6","0","1.0","0.29","N"
"386","521677044","8","8","3","7","1","2.0","0","N"
"103","150164499","12","11","4","3","0","3.0","0","N"
"528","487828356","28","1","1","7","1","1.5","0","N"
"272","453015000","5","12","4","4","0","3.0","0.01","N"
"510","1173899000","25","5","2","2","0","3.0","0.25","N"
"55","94929000","10","12","4","3","0","0.0","0","N"
"109","131162000","27","10","4","1","0","0.5","0","N"
"8","3300000","3","1","1","4","1","5.0","0","N"
"548","636281812","25","1","1","4","0","1.0","0.15","N"
"433","864812087","1","2","1","4","0","3.0","0.12","N"
"143","666536000","19","3","1","4","0","0.1","0","N"
"6","700000","21","9","3","1","1","3.0","0","N"
"177","180112909","12","1","1","5","1","2.5","0","N"
"283","348601027","3","7","3","7","1","1.5","0","N"
"955","1225154937","7","11","4","4","0","0.5","0.31","N"
